Node1	Node2	PMID
rs538336580	fluorouracil	29327356
rs4646536	tenofovir disoproxil fumarate	31619748
rs4646536	rifampin	28594304
6-hydroxy r-warfarin	rs558364281	36210801
rs56113850	letrozole	34096894
rs56113850	nicotine	26407342;29232328
rs2106089	benazepril	21449848
dactinomycin	rs1801133	19159907
dactinomycin	rs1805087	19159907
rs1050828	amodiaquine	19112496
rs1050828	primaquine	20194698
rs1050828	pyrimethamine	19112496;20194698
rs1050828	sulfadoxine	19112496;20194698
rs2071303	adalimumab	27115882
rs7963521	vincristine	30506673
rs2741049	SN-38	24897286
rs2741049	oxcarbazepine	27900402
rs9590353	hydrochlorothiazide	25695618
rs2273618	docetaxel	24193570
rs80282562	ivacaftor	22293084;25266159
rs80282562	elexacaftor / tezacaftor / ivacaftor	
rs4505744	antipsychotics	30032160
thalidomide	rs4646487	20038957
thalidomide	rs12418	20038957
thalidomide	rs730720	20038957
thalidomide	rs1871450	20038957
thalidomide	rs4148943	20038957
thalidomide	rs4148945	20038957
thalidomide	rs4148947	20038957
thalidomide	rs4148950	20038957
thalidomide	rs2301159	20038957
thalidomide	rs12960	20038957
thalidomide	rs2238472	20038957
thalidomide	rs2292954	20038957
thalidomide	rs735482	21435719
thalidomide	rs1051685	21435719
thalidomide	rs1402467	20038957
thalidomide	rs4630	21435719
thalidomide	rs4135385	26521987
thalidomide	rs4533622	26521987
thalidomide	rs1883322	20038957
thalidomide	rs2016520	20038957
thalidomide	rs3734254	20038957
thalidomide	rs6922548	20038957
thalidomide	rs7769719	20038957
thalidomide	rs1799931	20038957
thalidomide	rs2227291	20038957
thalidomide	rs308395	28373444
rs11861118	capecitabine	28139840
rs167771	risperidone	19506579
rs2229437	benazepril	20079160
sulfamethoxazole	rs761142	22824134
sulfamethoxazole	G6PD deficiency	5061461;990860
rs2207396	Alkylating Agents	21430602
rs2207396	cisplatin	21430602
rs11568681	17beta-estradiol glucuronide	34693929
rs1367094	atenolol	26729753
rs1367094	metoprolol	26729753
rs130058	liothyronine	21449676
rs130058	clomipramine	21449676
rs130058	fluoxetine	27660918
rs130058	lithium	21449676
rs130058	nefazodone	21449676
rs130058	paroxetine	21449676
rs10946364	Ace Inhibitors, Plain	28030426
rs1137101	simvastatin	14625131;18854995
rs1137101	valproic acid	25740917
rs1137101	antipsychotics	21510767
rs121908547	flecainide	30611854
rs121908547	mexiletine	30611854
azithromycin	rs1045642	19904007
azithromycin	rs2032582	19904007
rs28363170	ethanol	28376280;37466123
rs28363170	disulfiram	31087723
rs9829896	cannabinoids	26202629
rs9829896	amphetamine	26202629
rs9829896	cocaine	26202629
rs9829896	opioids	26202629
rs2929973	Platinum compounds	34566424
rs2229046	carboplatin	30071039
rs2229046	docetaxel	30071039
rs2229046	trastuzumab	30071039
rs1019385	valproic acid	21806385
rs11553746	corticosteroids	31686588
adalimumab	rs1050501	25823782
adalimumab	rs1061622	25537528
adalimumab	rs1061624	29192552
adalimumab	rs1130864	27096233
adalimumab	rs4645983	25712183
adalimumab	rs12777960	25712183
adalimumab	rs7927894	25712183
adalimumab	rs8049439	25712183
adalimumab	rs10210302	25712183
adalimumab	rs13393173	33124499
adalimumab	rs1059150	26307125
adalimumab	rs3787186	34320607
adalimumab	rs352139	34635730
adalimumab	rs1799852	27115882
adalimumab	rs3814057	25712183
adalimumab	rs3804099	35852914
adalimumab	rs1295686	25712183
adalimumab	rs10512734	25712183
adalimumab	rs25648	28639493
adalimumab	rs510432	27096233
adalimumab	rs1264457	26307125
adalimumab	rs2071303	27115882
adalimumab	rs9373839	27096233
adalimumab	rs1800795	24253594
adalimumab	rs4406273	27564082
adalimumab	rs2302489	26453102
adalimumab	rs7301582	26453102
adalimumab	rs9304742	29192552
adalimumab	rs2546890	29192552
adalimumab	rs2145623	29192552
adalimumab	rs2230926	28639493
adalimumab	rs1126535	28639493
adalimumab	rs1267067	28639493
adalimumab	rs6661932	29192552
adalimumab	rs645544	29192552
adalimumab	rs9828223	31043678
adalimumab	rs885814	33124499
adalimumab	rs1350948	33124499
adalimumab	rs12081765	33124499
adalimumab	rs17301249	33124499
rs533556	hmg coa reductase inhibitors	20195290
rs7586110	atazanavir	17058217
rs7586110	irinotecan	18349289
rs7586110	ritonavir	17058217
rs11209716	Ace Inhibitors, Plain	21052031
rs17179108	fluorouracil	26633805
rs17179108	capecitabine	26633805
rs6443624	egfr inhibitors	22158333
rs115208233	opioids	31362332
rs10494227	interferon beta-1a	27001119
rs10494227	interferon beta-1b	27001119
rs4604006	sorafenib	24510746
rs16952570	azathioprine	27558924;31813937
rs16952570	mercaptopurine	27558924;31813937
rs2472297	caffeine	27702941
rs2472297	clozapine	30922102;36152308
rs2472297	olanzapine	23492908
rs2046934	prasugrel	31124414
rs2046934	aspirin	28255319
rs316019	l-tryptophan	22590580
rs316019	anthracyclines and related substances	21900104;23441093
rs316019	Platinum compounds	27590272
rs316019	trimethoprim	23305245
rs17435	fluorouracil	21635146
rs17435	cisplatin	21635146
rs17435	mitoxantrone	21635146
temsirolimus	rs3814055	28676933
temsirolimus	rs6785049	28676933
rs662	fluorouracil	25545243
rs662	oxaliplatin	25545243
rs662	epirubicin	25545243
rs662	simvastatin	16238680;18430057;19904013
rs2234753	docetaxel	24193570
elagolix	rs4149056	
rivastigmine	rs2177370	25730470
rivastigmine	rs3793790	25730470
rivastigmine	rs17798800	23374588
rivastigmine	rs6494223	24951635
rivastigmine	rs429358	24951635
rivastigmine	rs6720975	23374588
rivastigmine	rs2571598	18780301
rs1079596	opioids	33589790
rs17583889	anthracyclines and related substances	21900104;23441093
rs1948308	methadone	23651024
rs529038948	atorvastatin	30325262
rs3834939	rocuronium	28409297
rs2929183	clozapine	20732371
rs2929183	olanzapine	20732371
rs4410790	caffeine	21490707
rs4410790	olanzapine	23492908
rs2854117	protease inhibitors	16417409
rs2854117	ritonavir	15809899;16417409
rs1805343	rosuvastatin	30100615
rs531738678	succinylcholine	33774263
sumatriptan	rs6265	25096645
sumatriptan	rs6275	25096645
sumatriptan	rs5443	17361120
sumatriptan	rs6305	25096645
sumatriptan	rs4680	25096645
sumatriptan	rs1799971	25096645
sumatriptan	rs12208357	26659468
sumatriptan	rs34059508	26659468
sumatriptan	rs34130495	26659468
sumatriptan	rs55918055	26659468
sumatriptan	rs1611115	25096645
sumatriptan	rs130060	10208648;11037806
rs6413517	docetaxel	24193570
lumefantrine	rs8187710	28639487
lumefantrine	rs776746	28673292
lumefantrine	rs2740574	28673292
lumefantrine	rs10264272	28673292
lumefantrine	rs41303343	28673292
rs1127687	Platinum compounds	22441531
rs1127687	gemcitabine	22441531
rs1127687	paclitaxel	22441531
rs1801272	coumarin	9409631;9827545
rs1801272	nicotine	22046326
rs2753325	lamotrigine	28165634
rs763625282	voriconazole	30464555
rs763625282	fluoxetine	28494448
rs763625282	mephenytoin	26153442
rs763625282	omeprazole	26153442
rs17250932	Tumor necrosis factor alpha (TNF-alpha) inhibitors	28139755
rs6920220	methotrexate	20921970
rs7016778	oxycodone	27472837
carboplatin	rs1065634	21636554
carboplatin	rs1801131	19307503;20634689;21343546;29662106
carboplatin	rs1801133	19307503;21605004
carboplatin	rs12118636	21636554
carboplatin	rs2299939	20447721
carboplatin	rs1695	36988399
carboplatin	rs1453542	26378035
carboplatin	rs4149117	26267044;26641474
carboplatin	rs7311358	26641474;36988399
carboplatin	rs1061472	26194361
carboplatin	rs1801249	26194361
carboplatin	rs6113	31616045
carboplatin	rs1130214	20447721
carboplatin	rs2494752	22901187
carboplatin	rs2498804	20447721
carboplatin	rs3803304	20447721
carboplatin	rs11623866	26033044
carboplatin	rs1052536	36988399
carboplatin	rs1136201	30071039
carboplatin	rs2228100	18854779
carboplatin	rs25487	16875718
carboplatin	rs1656402	21079520
carboplatin	rs17309872	21636554
carboplatin	rs12659	16875718
carboplatin	rs1209950	21079520
carboplatin	rs9981861	21079520
carboplatin	rs1523127	26267044
carboplatin	rs1523130	26267044
carboplatin	rs2699887	20447721
carboplatin	rs9825762	26194361
carboplatin	rs11710163	21636554
carboplatin	rs726501	21636554
carboplatin	rs16886403	21636554
carboplatin	rs17661089	21636554
carboplatin	rs451774	21636554
carboplatin	rs879825	26194361
carboplatin	rs1800629	31616045
carboplatin	rs6900017	26194361
carboplatin	rs9369421	26194361
carboplatin	rs1801368	23407047
carboplatin	rs121434568	16043828
carboplatin	rs3594	26194361
carboplatin	rs6151031	18854779
carboplatin	rs7851395	22725681
carboplatin	rs5925720	26378035
carboplatin	rs7950311	26152742
carboplatin	rs2549714	26152742
carboplatin	rs2229046	30071039
carboplatin	rs773123	30071039
carboplatin	rs2284922	30071039
carboplatin	rs2070096	30071039
carboplatin	rs11280056	21980041
carboplatin	rs1649942	21705454
carboplatin	rs5877	31616045
carboplatin	rs3094086	31616045
carboplatin	rs1049709	31616045
carboplatin	rs10885	31616045
carboplatin	rs3115672	31616045
carboplatin	rs9262132	31616045
carboplatin	rs9262143	31616045
carboplatin	rs886424	31616045
carboplatin	rs886423	31616045
carboplatin	rs2233980	31616045
carboplatin	rs3130985	31616045
carboplatin	rs3130907	31616045
carboplatin	rs11229	31616045
carboplatin	rs10491684	31616045
carboplatin	rs1058932	31616045
carboplatin	rs11572078	31616045
carboplatin	rs6118	31616045
carboplatin	rs6119	31616045
carboplatin	rs6504649	31616045
carboplatin	rs73450548	31616045
rs2770150	Pertussis vaccines	17699831
rs2228079	aspirin	19019667
rs3733829	3-hydroxycotinine	31796940
rs7159713	estradiol	22405131
futibatinib	rs1057519045	
futibatinib	rs1057519797	
rs11503014	cocaine	22882391
rs11503014	propofol	28611364
rs6413432	cyclophosphamide	22188361
rs1061735	methylphenidate	29382897
rs6661932	adalimumab	29192552
rs6661932	infliximab	29192552
rs7103411	citalopram	19236730;22965830;29748862
rs2112460	antidepressants	27091189
rs9262132	carboplatin	31616045
rs9262132	gemcitabine	31616045
rs17602729	regadenoson	26554440
rs17602729	folic acid	16947783
AR-C124910XX	rs113681054	28049954
rs141059755	pegaspargase	26590194
rs141059755	cyclophosphamide	26590194
rs141059755	cytarabine	26590194
rs141059755	daunorubicin	26590194
rs141059755	dexamethasone	26590194
rs141059755	doxorubicin	26590194
rs141059755	methotrexate	26590194
rs141059755	prednisone	26590194
rs141059755	thioguanine	26590194
rs141059755	vincristine	26590194
rs2366929	opioids	31792237
rs5746849	morphine	19094200
Melatonin receptor agonists	rs1045642	26664259
rs2228570	deferasirox	29099735
rs2228570	peginterferon alfa-2b	24073221;26911666
rs2228570	calcitriol	15861036
rs2228570	ribavirin	24073221;26911666;27139837
rs2228570	interferons	27139837
glyburide	rs10494366	32504053
glyburide	rs889299	18004211
glyburide	rs4148269	27403931
glyburide	rs2077647	27403931
glyburide	rs5030868	8562390
glyburide	rs7512785	27403931
glyburide	rs7515157	27403931
glyburide	rs7793861	27403931
glyburide	rs5224	27403931
glyburide	rs2303070	27403931
glyburide	rs3729910	27403931
glyburide	rs3749442	27403931
glyburide	rs1803545	27403931
glyburide	rs1054097	27403931
glyburide	rs4148776	27403931
rs45445694	raltitrexed	16456808;17203168
rs45445694	platinum	25677447
rs45445694	hydroxychloroquine	18322994
rs45445694	FOLFOX	11913730;14522928;15918040;16249645;19384296;20165956;20385995;20665215;20714149;20932673;21167658;21919605;25232828;27752409;28972045;32695278;34100299
rs45445694	FOLFIRI	11913730;14522928;15918040;16249645;19384296;20165956;20385995;20665215;20932673;21167658;21273624;21919605;25232828;28972045
rs45445694	XELOX	34100299
rs45445694	asparaginase	15713801
rs45445694	azathioprine	26332308
rs45445694	cytarabine	15713801
rs45445694	daunorubicin	15713801
rs45445694	etoposide	15713801
rs45445694	folic acid	18322994
rs45445694	irinotecan	16456808;21205745
rs45445694	prednisone	15713801
rs45445694	sulfasalazine	18322994
rs730720	docetaxel	20038957
rs730720	thalidomide	20038957
rs264631	radiotherapy	24974847
rs2959023	fluorouracil	26244261
rs2500535	nortriptyline	20360315
rs41282401	imatinib	24322003
rs41282401	dasatinib	24322003
rs41282401	nilotinib	24322003
salvianolic acid b	rs1799752	24827774
salvianolic acid b	rs1799983	24827774
rs10895256	Platinum compounds	21118971
rs10895256	etoposide	21118971
rs6941	platinum	26358256
rs2238476	methotrexate	18256692
rs5888	atorvastatin	20064494
rs35864111	docetaxel	24061601
rs498207	amisulpride	20504252
rs498207	clozapine	20504252
rs498207	olanzapine	20504252
rs498207	quetiapine	20504252
rs498207	risperidone	20504252
low density lipoprotein	rs3888190	28694205
rs78769542	ivacaftor	23891399
rs78769542	elexacaftor / tezacaftor / ivacaftor	
rs1335150891	fluorouracil	29769267
rs28371685	phenytoin	16220110
rs28371685	warfarin	15970795;19387626;20072124;27121899;36210801
rs7246465	efavirenz	28960269
antineoplastic agents	rs1760217	21487324
antineoplastic agents	rs3754446	36952646
antineoplastic agents	rs2274407	19515727
antineoplastic agents	rs17091162	21487324
antineoplastic agents	rs246240	26644204
antineoplastic agents	rs4502225	25823661
antineoplastic agents	rs6500843	25823661
antineoplastic agents	rs1042522	19786980;20638924;22188361;27574448;29507678
antineoplastic agents	rs1127354	26644204
antineoplastic agents	rs2236624	26644204
antineoplastic agents	rs2231142	24338217
antineoplastic agents	rs2231164	21487324
antineoplastic agents	rs4148737	36952646
antineoplastic agents	rs1544105	36952646
antineoplastic agents	rs6674079	26152742
antineoplastic agents	rs4910232	26152742
antineoplastic agents	rs3795247	26152742
antineoplastic agents	rs11280056	36952646
antineoplastic agents	rs12067645	36952646
antineoplastic agents	rs6744284	36639636
rs10040363	fluorouracil	28796378
rs10040363	Platinum compounds	28796378
rs10040363	radiotherapy	28796378
rs6025211	mitoxantrone	31611591
rs12245847	antipsychotics	30032160
epirubicin	rs1563828	24958282
epirubicin	rs67376798	27995989
epirubicin	rs8187710	24599932
epirubicin	rs17222723	24599932
epirubicin	rs163182	26115082
epirubicin	rs3829306	24599932
epirubicin	rs4149056	27234217
epirubicin	rs246221	33356548
epirubicin	rs1800566	18511948;25545243;26014925
epirubicin	rs8110536	24599932
epirubicin	rs780093	26115082
epirubicin	rs780094	26115082
epirubicin	rs4402960	26115082
epirubicin	rs6769511	26115082
epirubicin	rs2231142	33356548
epirubicin	rs9501929	24599932
epirubicin	rs662	25545243
epirubicin	rs2032582	24599932
epirubicin	rs3213619	24599932
epirubicin	rs6473187	24599932
epirubicin	rs7853758	35147047
epirubicin	rs12050587	29100455
epirubicin	rs11636687	29100455
epirubicin	rs144991623	29593529
epirubicin	rs9389568	29593529
epirubicin	rs8110364	29593529
epirubicin	rs56022120	29593529
epirubicin	rs150688309	29593529
epirubicin	rs58695150	29593529
epirubicin	rs299293	29593529
epirubicin	rs138602176	29593529
epirubicin	rs148235907	29593529
epirubicin	rs117951771	29593529
epirubicin	rs299314	29593529
epirubicin	rs299313	29593529
epirubicin	rs115457081	29593529
epirubicin	rs117341846	29593529
epirubicin	rs4968187	29593529
epirubicin	rs142244113	29593529
epirubicin	rs79430272	29593529
epirubicin	rs118129530	29593529
epirubicin	rs77769901	29593529
epirubicin	rs145623321	29593529
epirubicin	rs148013902	29593529
epirubicin	rs55633228	29593529
epirubicin	rs41412545	29593529
epirubicin	rs3805945	29593529
epirubicin	rs117101815	29593529
epirubicin	rs9402944	29593529
epirubicin	rs181501757	29593529
epirubicin	rs149212925	29593529
epirubicin	rs112783657	29593529
epirubicin	rs74743371	29593529
epirubicin	rs117458836	29593529
epirubicin	rs118088833	29593529
epirubicin	rs112242273	29593529
epirubicin	rs78428806	29593529
epirubicin	rs141084494	29593529
dihydrostreptomycin	rs1556422499	10326749
rs6458232	fluorouracil	21635146
rs6458232	cisplatin	21635146
rs6458232	mitoxantrone	21635146
rs3110697	fluorouracil	20860465
rs3213239	Platinum compounds	25069034
rs4888024	methotrexate	19176441
rs867687	nicotine	20383528
rs55674432	fluorouracil	24648345
rs55674432	capecitabine	
rs7896283	vincristine	29282364
rs7740004	Bisphosphonates	22267851
rs416593	clozapine N+ glucuronide	35105285
rs115501901	salbutamol	23992748
rs10493112	abiraterone	32787509
rs2227291	docetaxel	20038957
rs2227291	thalidomide	20038957
rs6688363	olanzapine	23241943
rs80034486	elexacaftor / tezacaftor / ivacaftor	37331863;37569738;38474016;38714384;39048464
CYP2D6 poor metabolizers	desipramine	27440861
CYP2D6 poor metabolizers	pimozide	23059146
CYP2D6 poor metabolizers	risperidone	24643635
rs1503391	peginterferon alfa-2b	19749758
rs1503391	ribavirin	19749758
rs775887911	dexmedetomidine	32256718
rs11568695	indinavir	16791115
rs11568695	lamivudine	16791115
rs11568695	zidovudine	16791115
rs58700372	mercaptopurine	33124053
rs35694136	clozapine	17503978
rs35694136	olanzapine	25090458
rs35694136	theophylline	20797314
rs62638690	cocaine	23454283
rs62638690	heroin	23454283
rs16980091	rosuvastatin	30100615
rs4742610	trandolapril	26425837
rs4742610	verapamil	26425837
rs8192720	tegafur	21521021
rs138142612	fluoxetine	28494448
rs138142612	methadone	27199033
rs1130214	carboplatin	20447721
rs1130214	cisplatin	20447721
rs7131056	antipsychotics	27217270
rs17382202	quetiapine	23241943
rs2440390	olanzapine	22967772
rs1080985	clomipramine	27800629
rs1080985	thioridazine	19604081
rs1080985	debrisoquine	24279852
rs4646487	docetaxel	20038957
rs4646487	thalidomide	20038957
rs3094086	carboplatin	31616045
rs3094086	gemcitabine	31616045
rs9373839	adalimumab	27096233
rs7439366	taxanes	30739312
rs7439366	diclofenac acyl glucuronide	29203276
rs7439366	S-EDDP	17178267
rs7439366	(R)-methadone	17178267
rs7439366	buprenorphine / naloxone	35697190
rs7439366	flurbiprofen	21856293
rs7439366	lamotrigine	35303539
rs7439366	lorazepam	17687269
rs7439366	methadone	17178267;22676193
rs1341164	cabazitaxel	35880554
rs9825762	taxanes	26194361
rs9825762	carboplatin	26194361
rs4673	cisplatin	21887680
rs4673	cyclophosphamide	19448608;25823784
rs4673	doxorubicin	16330681;19448608;21887680;25823784;28485375
rs4673	idarubicin	16330681;19448608;25823784;28485375
rs4673	prednisolone	25823784
rs4673	prednisone	19448608
rs4673	rituximab	19448608
rs4673	simvastatin	15936011
rs4673	vincristine	19448608;25823784
rs305968	imatinib	30237583
rs7472	duloxetine	29407288
rs186169810	fluorouracil	24648345
rs186169810	capecitabine	
rs2236855	heroin	22500942
rs72732317	o-desmethyltramadol	30971809
rs72732317	tramadol	30971809
rs17470799	aspirin	21086123
rs761895497	tolbutamide	30745309
amoxicillin	rs9274407	21570397
amoxicillin	rs72631546	30664875
amoxicillin	rs3129880	30664875
rs2248829	methamphetamine	17582620
glimepiride	rs10494366	32504053
rs6755571	ABT-751	23670235
rs72549304	fluorouracil	24648345
rs72549304	capecitabine	
phenprocoumon	rs1051740	21057703;21110013
phenprocoumon	rs4086116	21063236
phenprocoumon	rs2359612	19738376
phenprocoumon	rs9934438	16201835;20020283;24224579;30207196
phenprocoumon	rs10871454	21063236
phenprocoumon	rs2108622	21063236;21110013;23132553;23510058
phenprocoumon	rs1799808	21110013
phenprocoumon	rs4253728	25461249
rs200643089	capecitabine	34959317
rs3130907	carboplatin	31616045
rs3130907	gemcitabine	31616045
valproic acid	rs1137101	25740917
valproic acid	rs10789038	25740917
valproic acid	rs4244285	19638460;36718958
valproic acid	rs4918758	36718958
valproic acid	rs9332120	28343093
valproic acid	rs1800497	25740917
valproic acid	rs1019385	21806385
valproic acid	rs2307441	21038416
valproic acid	rs2606345	21121773;26951882
valproic acid	rs3087374	21038416
valproic acid	rs1800012	26727275
valproic acid	rs1047891	20456087
valproic acid	rs2070959	15761113;21806385;36718958
valproic acid	rs6759892	15761113;21806385;36250837;36718958
valproic acid	rs28898617	28763744
valproic acid	rs1065852	28343093
valproic acid	rs2269577	19564049
valproic acid	rs3892097	28343093
valproic acid	rs7438284	17687269
valproic acid	rs12233719	29243113
valproic acid	rs4880	25372290
valproic acid	rs2687116	28343093
valproic acid	rs2740574	28343093
valproic acid	rs2769605	23315174
valproic acid	rs3816877	27406852
valproic acid	rs1731017	27918244;36718958
valproic acid	rs3888190	28694205
valproic acid	rs1000940	28694205
rs1799853	busulfan	24165757
rs1799853	indomethacin	28609430
rs1799853	irbesartan	12359989
rs1799853	hormonal contraceptives for systemic use	28750087
rs2018417	ethanol	19193628
rs854548	Tumor necrosis factor alpha (TNF-alpha) inhibitors	18615156
rs7091672	Platinum compounds	25732572
rs2781377	vincristine	30191766
rs6901146	anastrozole	25148458
rs6901146	exemestane	25148458
rs5925720	carboplatin	26378035
rs5925720	gemcitabine	26378035
rs9380142	fluorouracil	26633805
rs9380142	capecitabine	26633805
rs2290732	carbamazepine	22591328
rs2413739	azathioprine	31792371
rs2413739	purine analogues	22846425
rs2179652	antipsychotics	17558307
sulfinpyrazone	rs72551330	22981363
rs3766355	latanoprost	25339146;27336732
rs4402960	fluorouracil	26115082
rs4402960	oxaliplatin	26115082
rs4402960	epirubicin	26115082
rs4402960	repaglinide	20523342
rs118204423	chlorocresol	22415532
rs118204423	volatile anesthetics	22415532
rs118204423	caffeine	22415532
rs118204423	halothane	22415532
rs118204423	succinylcholine	22415532
rs763780	ustekinumab	26415694
silibinin	rs1045642	26595166
rs1801280	phenytoin	27488001
rs1801280	pyrazinamide	18421452
rs1801280	rifampin	18421452
rs1801368	carboplatin	23407047
rs1801368	paclitaxel	23407047
rs11125039	sorafenib	35484400
rs1799794	fluorouracil	22868256
rs1799794	oxaliplatin	22868256
rs1799794	leucovorin	22868256
rs1131882	aspirin	15898979;27995340
ciprofloxacin	rs762551	36015253
ciprofloxacin	rs7668258	27469576
rs200157005	Ace Inhibitors, Plain	32496628
rs200157005	Angiotensin II Antagonists	32496628
rs2274567	eculizumab	24038027
rs201280871	capecitabine	25915935
rs8187710	calcein	22027652
rs8187710	deferasirox	26403473
rs8187710	lumefantrine	28639487
rs8187710	trabectedin	24024892
rs8187710	cyclophosphamide	24599932
rs8187710	doxorubicin	16330681
rs8187710	epirubicin	24599932
rs8187710	lopinavir	19842932;22027652
rs8187710	paclitaxel	24599932
rosiglitazone	rs10509681	17178266
rosiglitazone	rs4149056	27271184
rosiglitazone	rs6467136	24752311
rosiglitazone	rs894160	16732015
rs62283056	cisplatin	35322580
Immunoglobulins	rs28493229	21987091
Immunoglobulins	rs113420705	21987091
enalapril	rs4149056	26607661
enalapril	rs1799722	12522467;22706620
enalapril	rs1799752	10880412;12799093;16020596;19319668;25002132;8538349;8986921;9661139
enalapril	rs5522	24059494
enalapril	rs1042714	17178264
enalapril	rs699947	26002049
enalapril	rs2070744	22706620
enalapril	rs495828	24743543
enalapril	rs200707504	28838926
enalapril	rs151291296	28838926
enalapril	rs146456965	28838926
enalapril	rs201065375	28838926
enalapril	rs143718310	28838926
enalapril	rs202121317	28838926
enalapril	rs2307243	28838926
enalapril	rs13009649	32397904
enalapril	rs13015243	32397904
enalapril	rs1044147	32397904
rs2897047	cytarabine	28570300
rs2897047	idarubicin	28570300
rs3805945	fluorouracil	29593529
rs3805945	cyclophosphamide	29593529
rs3805945	epirubicin	29593529
rs3738948	Platinum compounds	25069034
rs6947309	hydrochlorothiazide	24612202
rs4732636	buprenorphine	27983768
rs4732636	methadone	27983768
rs1072388	clozapine	26876050
rs429358	hmg coa reductase inhibitors	28212683
rs429358	Antivirals for treatment of HIV infections, combinations	15809899
rs429358	lecanemab	
rs429358	aducanumab	
rs429358	bupropion	23247396
rs429358	donepezil	24951635;27567841
rs429358	galantamine	24951635
rs429358	nicotine	23247396
rs429358	pravastatin	19667110
rs429358	ritonavir	15809899
rs429358	rivastigmine	24951635
rs429358	acenocoumarol	25089947;29432897
rs749292	letrozole	26463708
rs749292	triglycerides	26463708
rs8065082	metformin	20682687
rs6280	pramipexole	19396436
rs6280	atorvastatin	26857559
rs6280	levodopa	27779245;30794329
rs6280	methamphetamine	21491142
rs6280	methylphenidate	23856854
rs6280	paroxetine	22926616
rs6280	quetiapine	25025989
rs469490	nivolumab	36268685
rs4803418	methotrexate	
rs4148386	carbamazepine	23252947
rs77107237	cotinine	26833182
rs3740066	fluorouracil	22868256;29507678
rs3740066	anthracyclines and related substances	35455734
rs3740066	oxaliplatin	22868256
rs3740066	cyclophosphamide	29507678
rs3740066	doxorubicin	29507678
rs3740066	leucovorin	22868256
rs7574296	sorafenib	22736425
dacarbazine	rs1800734	17959715
maprotiline	rs3892097	18070221
rs2238472	docetaxel	20038957
rs2238472	thalidomide	20038957
opioids	rs2236861	24086514
opioids	rs2295632	25493568;25558980;27977335
opioids	rs2884129	21622719
opioids	rs6265	25096645
opioids	rs948854	24086514
opioids	rs1076560	19373123;24359476;31025317
opioids	rs7104613	21622719
opioids	rs10770141	32232669
opioids	rs5443	19303909
opioids	rs6305	25096645
opioids	rs2069514	36744646
opioids	rs12948783	21622719;27472837
opioids	rs10413396	21622719
opioids	rs2952768	23183491
opioids	rs13422094	21622719
opioids	rs6269	24533707
opioids	rs2654754	33589790;36744646
opioids	rs9288993	33589790
opioids	rs1800629	35335997
opioids	rs2275913	30106258
opioids	rs2473967	21622719
opioids	rs7757130	21622719
opioids	rs12211463	21622719
opioids	rs15524	36744646
opioids	rs1800797	35335997
opioids	rs2740574	36744646
opioids	rs9282564	27061230
opioids	rs1611115	25096645
opioids	rs1611131	29210332
opioids	rs648893	16476706
opioids	rs495491	16476706;31853823
opioids	rs10457090	31853823
opioids	rs589046	31853823
opioids	rs910080	31510971
opioids	rs6517442	31269327
opioids	rs795484	30031856
opioids	rs1277441	30031856
opioids	rs511435	16476706;25744370
opioids	rs524731	16476706;25744370
opioids	rs3823010	16476706;25744370
opioids	rs3778156	16476706
opioids	rs609148	16476706
opioids	rs1079596	33589790
opioids	rs6928499	33589790
opioids	rs9829896	26202629
opioids	rs363338	30983500
opioids	rs363334	30983500
opioids	rs363332	30983500
opioids	rs997917	34843875
opioids	rs115208233	31362332
opioids	rs116181528	31362332
opioids	rs114077267	31362332
opioids	rs2366929	31792237
opioids	rs36024412	31953506
opioids	rs168107	31953506
opioids	rs41269255	31953506
opioids	rs9393888	31953506
opioids	rs12305038	31953506
opioids	rs11882256	31953506
opioids	rs10405238	31953506
opioids	rs10770140	32232669
opioids	rs11030096	33589790
opioids	rs4906902	33589790
opioids	rs735668	33589790
opioids	rs7597593	33589790
opioids	rs2023239	33589790
opioids	rs324029	33589790;36744646
opioids	rs718656	33589790
opioids	rs1384401	33589790
opioids	rs4530637	33589790
opioids	rs10799590	26239289
rs2289669	trimethoprim	23305245
rs425215	irinotecan	21892003
rs1229976	acetaldehyde	31002879
hydroxyurea	rs9376230	23556445
hydroxyurea	rs9483947	23556445
hydroxyurea	rs10793902	26895070
hydroxyurea	rs10901080	26895070
hydroxyurea	rs1427407	28639471
hydroxyurea	rs766432	28639471
hydroxyurea	rs4671393	28639471
hydroxyurea	rs2236599	31393228
rs518329	docetaxel	20157331
hmg coa reductase inhibitors	rs646776	25350695
hmg coa reductase inhibitors	rs11591147	26902539
hmg coa reductase inhibitors	rs11807862	24096969
hmg coa reductase inhibitors	rs1935349	17600820
hmg coa reductase inhibitors	rs533556	20195290
hmg coa reductase inhibitors	rs5443	18551043
hmg coa reductase inhibitors	rs2900478	25350695
hmg coa reductase inhibitors	rs4363657	29785580;33150478
hmg coa reductase inhibitors	rs11045819	37098851
hmg coa reductase inhibitors	rs17381194	21868014
hmg coa reductase inhibitors	rs1008805	26463708
hmg coa reductase inhibitors	rs1062033	26463708
hmg coa reductase inhibitors	rs1719247	23995691
hmg coa reductase inhibitors	rs247616	27587472
hmg coa reductase inhibitors	rs708272	14660992
hmg coa reductase inhibitors	rs1532624	20195290
hmg coa reductase inhibitors	rs11868035	24329191
hmg coa reductase inhibitors	rs429358	28212683
hmg coa reductase inhibitors	rs445925	25350695
hmg coa reductase inhibitors	rs672348	21868014
